2015-12-05(16:24:33) 162.214.2.121:5077 192.168.1.1:5060
2015-12-05(16:29:20) 36.248.13.248:6000 192.168.1.1:1433
2015-12-05(16:33:25) 61.240.144.66:60000 192.168.1.1:27017
2015-12-05(16:33:33) 221.231.6.246:45560 192.168.1.1:9080
2015-12-05(16:38:08) 113.84.159.147:1060 192.168.1.1:53413
2015-12-05(16:45:59) 188.24.6.230:39671 192.168.1.1:23
2015-12-05(16:50:03) 61.239.227.100:3463 192.168.1.1:23
2015-12-05(16:51:48) 183.60.48.25:22208 192.168.1.1:3306
2015-12-05(16:53:18) 61.240.144.64:60000 192.168.1.1:5900
2015-12-05(16:57:59) 221.231.6.246:36157 192.168.1.1:9081
2015-12-05(17:00:30) 119.179.101.82:4895 192.168.1.1:23
2015-12-05(17:03:18) 162.213.153.89:53404 192.168.1.1:2083
2015-12-05(16:50:24) 61.239.227.100:3463 192.168.1.1:23
2015-12-05(17:16:58) 111.166.50.136:25981 192.168.1.1:23
2015-12-05(17:28:35) 221.231.6.246:48080 192.168.1.1:9090
2015-12-05(17:35:57) 176.51.80.162:35008 192.168.1.1:23
